Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_t413,3857,34.2282813676764,29.4895652371306,35.8971161974509,33.3278539970423
govmap:layer_t_big_diyur,3857,34.4001683860198,29.5506007055151,35.8003654227612,33.0257042491871
govmap:layer_t_big_plan,3857,34.4001683860198,29.5506007055151,35.8003654227612,33.0257042491871
govmap:layer_t_big_yazam,3857,34.4001683860198,29.5506007055151,35.8003654227612,33.0257042491871
govmap:layer_taba_msbs_itm,3857,34.2966969545511,29.5355490520027,35.8430886118645,33.2784525697542
govmap:layer_tabaot,3857,34.2655895535416,29.6420602458621,35.7608249321075,33.2773208873253
govmap:layer_tabar,3857,34.7488139736024,31.9440786494912,34.7819795111716,32.0876135785528
govmap:layer_tahaz_clusters,3857,34.2593027346844,29.4825757545187,35.8970287644673,33.3359789409937
govmap:layer_tahaz_clusters_riders,3857,34.2593027346844,29.4825757545187,35.8970287644673,33.3359789409937
govmap:layer_tahaz_clusters_trips,3857,34.2593027346844,29.4825757545187,35.8970287644673,33.3359789409937
govmap:layer_talar_prep,3857,34.269784627925,29.5372769210817,35.8953835619697,33.2832549453297
govmap:layer_talar_table_tavlaei,3857,34.3599929160778,29.530841534154,35.8540099585295,33.2846152175123
govmap:layer_tama35lines,3857,34.2181208728553,29.4909422592035,35.9041654837545,33.3388255019155
govmap:layer_tama35points,3857,34.3847405704791,29.4911007303342,35.8357524283279,33.2952380825458
govmap:layer_tama35polygons,3857,34.2671487589385,29.4909422592035,35.897966258706,33.335167763393
govmap:layer_tama70,3857,34.7354671103336,31.8633468336682,34.9431830618095,32.2061825657532
govmap:layer_tamacompilationlines,3857,34.8268233910409,32.3721912264557,35.210300038276,32.9011531279451
govmap:layer_tamacompilationpoints,3857,34.8710818662231,32.385389535971,35.1996066428721,32.8633998652965
govmap:layer_tamam_center,3857,34.4431135470123,31.7570710282887,35.052011396256,32.4662582831078
govmap:layer_tamam_jerusalem,3857,34.8200590468515,31.6029912059332,35.264983960058,31.8827442790363
